arm,capture,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
independent + isotonic + PAV,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.2964181654912014,1.9329304324546008,0.7307637977840415,0.02605536897462032,0.12038665606818953
independent + isotonic + PAV,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.37277585827560333,1.7573719032992727,0.7208038173947264,0.0527947672536416,0.1583968836396687
independent + isotonic + PAV,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.47670265693671376,1.5268505688355332,0.6990924173407681,0.0826017528021697,0.2030011502065556
independent + isotonic + PAV,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.1303902451809044,3.07232015207506,0.8033818097876271,0.012797242056095679,0.038885813733092536
independent + isotonic + PAV,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.23768729837592562,2.9869370495907988,0.7754829757711602,0.018176081137845274,0.06711430159423186
independent + isotonic + PAV,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.3302719861784772,2.26386434162338,0.7542129368216324,0.013296429034746045,0.11105094607699617
independent + isotonic + PAV,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.3892860403515887,1.9481527063612691,0.7403779396665526,0.04260962368460541,0.1433113552748094
independent + isotonic + PAV,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.513011091034279,1.8019116272042532,0.7396313983216761,0.06393290042291398,0.17891772498608302
independent + isotonic + PAV,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.09866950616556186,2.682413477350496,0.7678822969970123,0.008807578703414684,0.03427780558800674
independent + isotonic + PAV,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.17073223432055698,2.6356252453907087,0.7582762402335381,0.012962647109468713,0.057277565935068574
independent + isotonic + PAV,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.27543745175194834,2.2807111907870223,0.7434423309326386,0.021694291973182695,0.09754844635864153
independent + isotonic + PAV,13 Sept (dense urban),3.0,3072,0.1708984375,0.3648275285435076,2.1347622241631528,0.7392611288724362,0.03198431386473073,0.1275703446125414
independent + isotonic + PAV,13 Sept (dense urban),5.0,3072,0.2548828125,0.465792524079412,1.8274771825950877,0.72329431614468,0.059705997960859375,0.17030916299990626
independent + isotonic + PAV,15 Sept (highway),0.5,2205,0.022222222222222223,0.04236496056644355,1.9064232254899598,0.7223221385028964,0.03218132742963321,0.02354490656474289
independent + isotonic + PAV,15 Sept (highway),1.0,2205,0.050793650793650794,0.1120332525674343,2.2056546599213624,0.732586512866016,0.041917044498064285,0.050770972467073204
independent + isotonic + PAV,15 Sept (highway),2.0,2205,0.09523809523809523,0.20236845831151276,2.124868812270884,0.7355495882563552,0.07597502867499308,0.08990089977718015
independent + isotonic + PAV,15 Sept (highway),3.0,2205,0.1360544217687075,0.27317970749697246,2.0078708501027474,0.7279011373578304,0.0996330937078425,0.1215827939367155
independent + isotonic + PAV,15 Sept (highway),5.0,2205,0.20770975056689342,0.391788460040868,1.8862304681006854,0.7157653919507677,0.15528290530702824,0.17845236727856392
hazard,10 Sept (urban arterial),0.5,2178,0.050045913682277315,0.1238441141854457,2.474609914641291,0.7396650422798763,0.029480268003126222,0.047124747664829464
hazard,10 Sept (urban arterial),1.0,2178,0.08356290174471992,0.18874836798031952,2.2587579420941535,0.747181175537889,0.04373243623440261,0.07506251902431038
hazard,10 Sept (urban arterial),2.0,2178,0.15335169880624427,0.31662587183728863,2.064704038507828,0.7344145764869393,0.07245233923168351,0.12504170914753543
hazard,10 Sept (urban arterial),3.0,2178,0.21212121212121213,0.39480349428690664,1.8612164730668455,0.725192736556373,0.08603222467269599,0.161232128883137
hazard,10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.5095109261765499,1.6319335253125378,0.7103000078536088,0.12049701239367183,0.2093569020737279
hazard,12 Sept (urban loop),0.5,1131,0.042440318302387266,0.13623371175351637,3.21000683319223,0.7931286549707603,0.01936101345024011,0.039171701374203796
hazard,12 Sept (urban loop),1.0,1131,0.07957559681697612,0.22982476273526975,2.88813118503989,0.7859536770199593,0.02657446517910801,0.0681468586605918
hazard,12 Sept (urban loop),2.0,1131,0.14588859416445624,0.3439649131415616,2.357723131897613,0.7710960537047493,0.05058342337850236,0.11300490068297785
hazard,12 Sept (urban loop),3.0,1131,0.19982316534040673,0.40137732056817477,2.0086626086840957,0.75545396763311,0.06757292891599553,0.14782291501805755
hazard,12 Sept (urban loop),5.0,1131,0.28470380194518125,0.5042928737828463,1.7712895659888173,0.7452456448801911,0.10568826600546785,0.19125084207248386
hazard,13 Sept (dense urban),0.5,3072,0.036783854166666664,0.12623036686530043,3.4316786461079904,0.7842759602472732,0.028885606098041323,0.035316062002317745
hazard,13 Sept (dense urban),1.0,3072,0.06477864583333333,0.18486096491684753,2.853733086555556,0.7653932733629863,0.04384152147670319,0.059768264509427516
hazard,13 Sept (dense urban),2.0,3072,0.12076822916666667,0.2933381391857759,2.4289346727188774,0.7520515013407233,0.07058619341480966,0.10347047718299633
hazard,13 Sept (dense urban),3.0,3072,0.1708984375,0.3822865046793468,2.236922175952292,0.7437478265746817,0.09372139469708199,0.13588231437596973
hazard,13 Sept (dense urban),5.0,3072,0.2548828125,0.4785730000765714,1.8776197397640195,0.7278309779627928,0.12341616450907221,0.18354345659105387
hazard,15 Sept (highway),0.5,2205,0.022222222222222223,0.04669216665500028,2.1011474994750126,0.7317973571617887,0.018000015492404542,0.023515193075457155
hazard,15 Sept (highway),1.0,2205,0.050793650793650794,0.11155098209072924,2.196159959911232,0.737509385024913,0.026189278023917177,0.05139842489724412
hazard,15 Sept (highway),2.0,2205,0.09523809523809523,0.18868918453820605,1.9812364376511635,0.7246521064566178,0.05828845099196457,0.09588240258513964
hazard,15 Sept (highway),3.0,2205,0.1360544217687075,0.2651516818554508,1.9488648616375632,0.7220612423447069,0.09445879876021362,0.13418567827366326
hazard,15 Sept (highway),5.0,2205,0.20770975056689342,0.3811605996447131,1.8350635856257476,0.7185180834018643,0.15269648318957652,0.19310727242975886
