variant,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
"rf only, NO lag",2,5.0,8590,0.2612339930151339,0.5696282398048754,2.18052877893221,0.7748506996701784,0.08332918292601217,0.16814241314317036
"main, re-establishment censored",0,0.5,8493,0.037560343812551515,0.09219204777940965,2.454504895895066,0.745948810856044,0.020910902244303767,0.036037604203369614
"main, re-establishment censored",0,1.0,8493,0.06864476627811139,0.16659116970859864,2.4268590125816947,0.7528425490021751,0.03216352657509416,0.06296727537140254
"main, re-establishment censored",0,2.0,8493,0.12692805840103616,0.26783928796583795,2.1101661156714857,0.7410779183248116,0.055661611867999214,0.10863621558297695
"main, re-establishment censored",0,3.0,8493,0.1775579889320617,0.3453191105759699,1.944824407242515,0.7338495335780159,0.07426264048101655,0.1432240488431391
"main, re-establishment censored",0,5.0,8493,0.26256917461438833,0.4584648468803317,1.7460726208765276,0.7240989683163057,0.10597863333123056,0.18968909830550346
"main, re-establishment censored",1,0.5,8493,0.037560343812551515,0.08997340566053515,2.3954361576016456,0.7452132420788293,0.022013232256208645,0.03627147482604951
"main, re-establishment censored",1,1.0,8493,0.06864476627811139,0.16416927657832112,2.3915774716632607,0.7523526898881716,0.03403572509504156,0.06342316143911414
"main, re-establishment censored",1,2.0,8493,0.12692805840103616,0.2590422890801224,2.0408591476414464,0.7364439529259874,0.05845769443136378,0.11044241194510764
"main, re-establishment censored",1,3.0,8493,0.1775579889320617,0.33022185656673914,1.8597972333032595,0.7249808703379163,0.08357333118012059,0.14764038663443474
"main, re-establishment censored",1,5.0,8493,0.26256917461438833,0.43770137467904174,1.6669945180040813,0.7136071410927155,0.11994268116609319,0.19731365858743374
"main, re-establishment censored",2,0.5,8493,0.037560343812551515,0.08874475696563475,2.3627248304361625,0.7403074048535266,0.02200307120130117,0.03633150215102733
"main, re-establishment censored",2,1.0,8493,0.06864476627811139,0.16052181120556247,2.3384420970306037,0.7486328832296439,0.03640472572337819,0.06380256573156685
"main, re-establishment censored",2,2.0,8493,0.12692805840103616,0.26906531141531387,2.1198253152599817,0.741436465470759,0.05611235044969115,0.10905043928414376
"main, re-establishment censored",2,3.0,8493,0.1775579889320617,0.345349649387487,1.9449964006949119,0.7311785960441947,0.07925083231471004,0.14490097790395903
"main, re-establishment censored",2,5.0,8493,0.26256917461438833,0.4563286857237304,1.7379370080052208,0.7207246774243207,0.11644307267342567,0.19323261466790256
