learner,stratum,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
Dwell time only (LightGBM),in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.12038574744819497,1.0705607918001803,0.5171182678950645,0.026866388995638365,0.10050106881766215
Dwell time only (LightGBM),in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.21715559200015203,1.0780475020331173,0.52767386566277,0.044850261766586665,0.16193235836715972
Dwell time only (LightGBM),in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.294547899273247,1.0783686813488327,0.5322185001658871,0.04677671957805644,0.19989964859843576
Dwell time only (LightGBM),in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.4161399958046089,1.0838009398374704,0.5419512041753127,0.05123097559656306,0.23767189533599478
History block only (LightGBM),quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.026885179633469224,1.3013370282235366,0.5588298791018997,0.010914309170766736,0.020360532908462195
History block only (LightGBM),quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.06091506860114236,1.4123081871474938,0.5664223644003056,0.018281015277812753,0.04150398385437947
History block only (LightGBM),quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.1133401189981756,1.3537029797227986,0.5636248475943888,0.03179157928056422,0.07713578523265646
History block only (LightGBM),quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.15601783729171176,1.2754169276676526,0.5613903228026705,0.04249886619823405,0.10816544839707411
History block only (LightGBM),quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.23622967031065736,1.223958047675312,0.5600539384220586,0.04438209103724192,0.15647829940567473
History block only (LightGBM),in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.0784781956461776,1.174493191426697,0.5623318538459573,0.016038234255715347,0.062306321632520464
History block only (LightGBM),in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.13300485936750533,1.1827794450420475,0.5615226173178559,0.024759132546028503,0.09963091841983779
History block only (LightGBM),in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.23864990725850477,1.18475390852604,0.5741942408031173,0.02956817698530324,0.15959708199499226
History block only (LightGBM),in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.33013626242788946,1.2086611612515092,0.5888868970536297,0.040564220662070154,0.19516232610620599
History block only (LightGBM),in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.47856854334765947,1.2463907393808313,0.6146621032868911,0.03408511197124636,0.22766442547793822
Hawkes-kernel intensity (LR),quiet (no handover in previous 10 s),0.5,5518,0.020659659296846683,0.024144995778817457,1.1687025149781993,0.5498850753827574,0.00899525305295033,0.020295721597732314
Hawkes-kernel intensity (LR),quiet (no handover in previous 10 s),1.0,5518,0.04313156940920623,0.05989797372367582,1.388726970618669,0.5922177393684747,0.014228674561473406,0.04119994327892953
Hawkes-kernel intensity (LR),quiet (no handover in previous 10 s),2.0,5518,0.08372598767669445,0.11557786328443406,1.3804299774967688,0.5939738992547536,0.02482505892590043,0.07634380148974124
Hawkes-kernel intensity (LR),quiet (no handover in previous 10 s),3.0,5518,0.12232693004711852,0.16664301666772358,1.3622758014407388,0.595988253378301,0.0349056016086815,0.10650998644789635
Hawkes-kernel intensity (LR),quiet (no handover in previous 10 s),5.0,5518,0.19300471185212034,0.2629306500249481,1.362301715340529,0.5996093787065533,0.04682229849182928,0.15332004172275449
Hawkes-kernel intensity (LR),in burst (handover 2-10 s earlier),0.5,3068,0.06681877444589308,0.08474057819902153,1.2682150922663322,0.5761004574768067,0.017534991692998048,0.06252324236916557
Hawkes-kernel intensity (LR),in burst (handover 2-10 s earlier),1.0,3068,0.11245110821382008,0.14230877503810502,1.2655168748316121,0.5827034334466994,0.02393053934662375,0.09995031961805476
Hawkes-kernel intensity (LR),in burst (handover 2-10 s earlier),2.0,3068,0.2014341590612777,0.24601295189494235,1.22130701685062,0.5849521167690377,0.04003987667849343,0.1612408403236786
Hawkes-kernel intensity (LR),in burst (handover 2-10 s earlier),3.0,3068,0.273142112125163,0.33292174522777274,1.2188590863470248,0.5953615805301968,0.050008873641575975,0.19798508119417593
Hawkes-kernel intensity (LR),in burst (handover 2-10 s earlier),5.0,3068,0.38396349413298564,0.4676453267596509,1.2179421583180043,0.6134139111218908,0.05694698129868658,0.23213066196231746
