horizon_s,alpha,test,calib,n_calib_units,floor_1_over_n_plus_1,feasible,threshold,alarm_rate,realised_miss_rate_rows,mean_unit_loss,units_with_loss_le_alpha,n_events_test,feasible_events,threshold_events,alarm_rate_events,realised_miss_rate_events,mean_unit_loss_events,unresolvable_event_share,unresolvable_event_share_calib
3.0,0.3,12 Sept (urban loop),15 Sept (highway),14,0.06666666666666667,True,0.164,0.4235190097259063,0.2920353982300885,0.3085544590643275,0.625,174,True,0.23800000000000002,0.34129089301503096,0.3620689655172414,0.3704455873428832,0.16666666666666666,0.0903954802259887
1.0,0.05,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,False,-inf,1.0,0.0,0.0,1.0,297,False,-inf,,,,0.30976430976430974,0.33797909407665505
1.0,0.1,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,True,0.001,0.70703125,0.05527638190954774,0.06447802197802198,0.7,297,False,-inf,,,,0.30976430976430974,0.33797909407665505
1.0,0.15,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,True,0.002,0.5833333333333334,0.11055276381909548,0.12152983489940013,0.7,297,False,-inf,,,,0.30976430976430974,0.33797909407665505
1.0,0.2,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,True,0.003,0.5110677083333334,0.1708542713567839,0.18890162977119498,0.65,297,False,-inf,,,,0.30976430976430974,0.33797909407665505
1.0,0.3,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,True,0.01,0.3134765625,0.35678391959798994,0.3840444036639689,0.35,297,False,-inf,,,,0.30976430976430974,0.33797909407665505
3.0,0.05,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,False,-inf,1.0,0.0,0.0,1.0,297,False,-inf,,,,0.10101010101010101,0.12152777777777778
3.0,0.1,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,True,0.006,0.724609375,0.07809523809523809,0.09182689093084631,0.65,297,False,-inf,,,,0.10101010101010101,0.12152777777777778
3.0,0.15,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,True,0.012,0.6168619791666666,0.13523809523809524,0.15826814002582013,0.7,297,True,0.003,0.8297526041666666,0.10437710437710437,0.06424486270230952,0.10101010101010101,0.12152777777777778
3.0,0.2,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,True,0.02,0.5289713541666666,0.2,0.2322034950051864,0.55,297,True,0.018000000000000002,0.5472005208333334,0.1919191919191919,0.15610778990628804,0.10101010101010101,0.12152777777777778
3.0,0.3,13 Sept (dense urban),10 Sept (urban arterial),15,0.0625,True,0.041,0.4078776041666667,0.3219047619047619,0.3606928140339938,0.45,297,True,0.061,0.34765625,0.367003367003367,0.3846676627676314,0.10101010101010101,0.12152777777777778
1.0,0.05,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,297,False,-inf,,,,0.30976430976430974,0.46551724137931033
1.0,0.1,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,297,False,-inf,,,,0.30976430976430974,0.46551724137931033
1.0,0.15,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,True,0.001,0.7916666666666666,0.020100502512562814,0.030000000000000006,0.9,297,False,-inf,,,,0.30976430976430974,0.46551724137931033
1.0,0.2,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,True,0.004,0.5237630208333334,0.135678391959799,0.15901251526251525,0.7,297,False,-inf,,,,0.30976430976430974,0.46551724137931033
1.0,0.3,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,True,0.015,0.2685546875,0.40703517587939697,0.4575601451688408,0.25,297,False,-inf,,,,0.30976430976430974,0.46551724137931033
3.0,0.05,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,297,False,-inf,,,,0.10101010101010101,0.16666666666666666
3.0,0.1,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,False,-inf,1.0,0.0,0.0,1.0,297,False,-inf,,,,0.10101010101010101,0.16666666666666666
3.0,0.15,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,True,0.005,0.7981770833333334,0.0380952380952381,0.05021734048673704,0.9,297,False,-inf,,,,0.10101010101010101,0.16666666666666666
3.0,0.2,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,True,0.012,0.6591796875,0.08571428571428572,0.11281660555291387,0.8,297,False,-inf,,,,0.10101010101010101,0.16666666666666666
3.0,0.3,13 Sept (dense urban),12 Sept (urban loop),8,0.1111111111111111,True,0.046,0.3727213541666667,0.32761904761904764,0.37571253804051274,0.4,297,True,0.021,0.5436197916666666,0.18855218855218855,0.18310386317895708,0.10101010101010101,0.16666666666666666
1.0,0.05,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,False,-inf,1.0,0.0,0.0,1.0,297,False,-inf,,,,0.30976430976430974,0.3446327683615819
1.0,0.1,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,True,0.004,0.4768880208333333,0.1407035175879397,0.17741022866022865,0.4,297,False,-inf,,,,0.30976430976430974,0.3446327683615819
1.0,0.15,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,True,0.01,0.3046875,0.3015075376884422,0.35323269122182166,0.1,297,False,-inf,,,,0.30976430976430974,0.3446327683615819
1.0,0.2,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,True,0.013000000000000001,0.2620442708333333,0.36683417085427134,0.43353847239716803,0.15,297,False,-inf,,,,0.30976430976430974,0.3446327683615819
1.0,0.3,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,True,0.029,0.15852864583333334,0.5628140703517588,0.6172496887170801,0.05,297,False,-inf,,,,0.30976430976430974,0.3446327683615819
3.0,0.05,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,False,-inf,1.0,0.0,0.0,1.0,297,False,-inf,,,,0.10101010101010101,0.0903954802259887
3.0,0.1,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,True,0.006,0.7392578125,0.07238095238095238,0.08352082676283995,0.65,297,False,-inf,,,,0.10101010101010101,0.0903954802259887
3.0,0.15,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,True,0.025,0.4729817708333333,0.2019047619047619,0.23881879839954173,0.3,297,True,0.009000000000000001,0.6722005208333334,0.1447811447811448,0.12648701597387454,0.10101010101010101,0.0903954802259887
3.0,0.2,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,True,0.056,0.314453125,0.37523809523809526,0.4105540701510283,0.15,297,True,0.025,0.4729817708333333,0.1919191919191919,0.1824658900409839,0.10101010101010101,0.0903954802259887
3.0,0.3,13 Sept (dense urban),15 Sept (highway),14,0.06666666666666667,True,0.126,0.19401041666666666,0.5714285714285714,0.6228263680998583,0.0,297,True,0.117,0.20052083333333334,0.5050505050505051,0.5595385838087654,0.10101010101010101,0.0903954802259887
1.0,0.05,15 Sept (highway),10 Sept (urban arterial),15,0.0625,False,-inf,1.0,0.0,0.0,1.0,177,False,-inf,,,,0.3446327683615819,0.33797909407665505
1.0,0.1,15 Sept (highway),10 Sept (urban arterial),15,0.0625,True,0.002,0.8761904761904762,0.017857142857142856,0.014965986394557821,0.9285714285714286,177,False,-inf,,,,0.3446327683615819,0.33797909407665505
1.0,0.15,15 Sept (highway),10 Sept (urban arterial),15,0.0625,True,0.007,0.710204081632653,0.08928571428571429,0.06670941103714213,0.8571428571428571,177,False,-inf,,,,0.3446327683615819,0.33797909407665505
1.0,0.2,15 Sept (highway),10 Sept (urban arterial),15,0.0625,True,0.012,0.6117913832199546,0.11607142857142858,0.08218560151333261,0.7857142857142857,177,False,-inf,,,,0.3446327683615819,0.33797909407665505
1.0,0.3,15 Sept (highway),10 Sept (urban arterial),15,0.0625,True,0.024,0.47165532879818595,0.17857142857142858,0.1285950743933937,0.8571428571428571,177,False,-inf,,,,0.3446327683615819,0.33797909407665505
3.0,0.05,15 Sept (highway),10 Sept (urban arterial),15,0.0625,False,-inf,1.0,0.0,0.0,1.0,177,False,-inf,,,,0.0903954802259887,0.12152777777777778
3.0,0.1,15 Sept (highway),10 Sept (urban arterial),15,0.0625,True,0.017,0.8539682539682539,0.02666666666666667,0.021431899880175742,0.9285714285714286,177,False,-inf,,,,0.0903954802259887,0.12152777777777778
