arm,learner,columns_lagged,seed,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
all,LightGBM,109,1,3.0,8586,0.1762170976007454,0.3414151623926555,1.9374689916082886,0.7301602801639293,0.07476513054134803,0.1419533221717626
all,LightGBM,109,1,5.0,8586,0.2612392266480317,0.45257494822028693,1.732415740267224,0.7199213992712205,0.10808138407617285,0.19005484382286514
all,LightGBM,109,2,0.5,8586,0.03715350570696482,0.0845141981670582,2.2747301111672784,0.7395620234243259,0.020647982730240676,0.03583411179662691
all,LightGBM,109,2,1.0,8586,0.06790123456790123,0.15929557597494087,2.3459893916309476,0.7473818244401917,0.03241183204366854,0.062472239228322936
all,LightGBM,109,2,2.0,8586,0.12578616352201258,0.25341496385500056,2.0146489626472546,0.7344917892846216,0.05664088640922271,0.10894824646876342
all,LightGBM,109,2,3.0,8586,0.1762170976007454,0.32844015642276714,1.8638381910415591,0.7246108447556961,0.08018845475456038,0.14572879326311203
all,LightGBM,109,2,5.0,8586,0.2612392266480317,0.44083247345039867,1.6874666148217223,0.7166385670303019,0.11826386507458606,0.19502069482698398
all,Event A3 rule (deployed parameters),109,0,0.5,8586,0.03715350570696482,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674,0.32400530620994816
all,Event A3 rule (deployed parameters),109,0,1.0,8586,0.06790123456790123,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183,0.3162006476154253
all,Event A3 rule (deployed parameters),109,0,2.0,8586,0.12578616352201258,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075,0.3058988866336251
all,Event A3 rule (deployed parameters),109,0,3.0,8586,0.1762170976007454,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504,0.30184846936193943
all,Event A3 rule (deployed parameters),109,0,5.0,8586,0.2612392266480317,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989,0.3036042252176912
