learner,held_out_capture,horizon_s,n,prevalence,auprc,lift,auroc,ece,brier
History block only (LightGBM),10 Sept (urban arterial),5.0,2178,0.3122130394857668,0.49951275757875524,1.5999099794213658,0.696088412000314,0.07585604659391419,0.19586112139402326
History block only (LightGBM),12 Sept (urban loop),0.5,1131,0.042440318302387266,0.10496875208182951,2.473326220928108,0.6573945829485994,0.012552415291989966,0.04007383841088676
History block only (LightGBM),12 Sept (urban loop),1.0,1131,0.07957559681697612,0.1750148776540763,2.1993536291862257,0.6516810758885687,0.021334066753469983,0.0715402828988102
History block only (LightGBM),12 Sept (urban loop),2.0,1131,0.14588859416445624,0.2441105443234591,1.6732668219989832,0.646427002948742,0.033713922474860276,0.1203505545504127
History block only (LightGBM),12 Sept (urban loop),3.0,1131,0.19982316534040673,0.30780775140449146,1.540400738223362,0.6454603236688994,0.04330828359508533,0.15331669158017258
History block only (LightGBM),12 Sept (urban loop),5.0,1131,0.28470380194518125,0.40684333438758385,1.4290056248209855,0.6399012660365914,0.056468817620090074,0.19464852505837107
History block only (LightGBM),13 Sept (dense urban),0.5,3072,0.036783854166666664,0.07183783725121125,1.9529720003161148,0.6534212407324885,0.009184898732591689,0.03498599894714036
History block only (LightGBM),13 Sept (dense urban),1.0,3072,0.06477864583333333,0.11652630088870605,1.7988381725130906,0.6516947774025015,0.016161536888195147,0.05958911577641703
History block only (LightGBM),13 Sept (dense urban),2.0,3072,0.12076822916666667,0.20917192374950344,1.7320111853328155,0.6481272285097563,0.022092306572353004,0.10290412591179159
History block only (LightGBM),13 Sept (dense urban),3.0,3072,0.1708984375,0.28526371350616553,1.6692002436017914,0.6486865967431339,0.027724941266287523,0.13572831357724516
History block only (LightGBM),13 Sept (dense urban),5.0,3072,0.2548828125,0.4014399940308695,1.5749982907571278,0.6451907534898149,0.03812916943117817,0.17911645855294425
