protocol,learner,horizon_s,auprc,lift,auroc,ece
loco,lgbm,3.0,0.3345085488876001,1.898275215300023,0.7281805171119039,0.07702292000636081
loco,lgbm,5.0,0.44533739299335123,1.7047110371114194,0.718862851165503,0.11263813187764199
loco,lr,0.5,0.09777728311430407,2.631710823885313,0.7715500651644774,0.008862216785542611
loco,lr,1.0,0.1666564206368059,2.4543945584693234,0.7669051635653782,0.017658080190382685
loco,lr,2.0,0.27607848134976704,2.1948239267306477,0.7583472727990448,0.024509100798268933
loco,lr,3.0,0.35905590707539736,2.0375770113346743,0.7536074787629227,0.031194042518855835
loco,lr,5.0,0.4789060155782931,1.8332086713130737,0.7481167433230183,0.03500013138062952
loco,mlp,0.5,0.08649988080224473,2.3281754751350263,0.7311622458342071,0.018404392109434755
loco,mlp,1.0,0.1517750831348351,2.235233042531208,0.7288929744541909,0.03731994628130769
loco,mlp,2.0,0.2595886277263268,2.063729590424298,0.7235591362301106,0.04439010963354031
loco,mlp,3.0,0.34176930519741316,1.939478687656966,0.721634331948879,0.05182171989094913
loco,mlp,5.0,0.4600097975053223,1.7608756671336145,0.7186085522093165,0.06223029783476286
loco,tcn,0.5,0.10085900768130177,2.7146565515725927,0.7681238583892676,0.011164325046672596
loco,tcn,1.0,0.16471147988158308,2.4257508855287693,0.75489605205938,0.02174740208492061
loco,tcn,2.0,0.27961143018480783,2.2229108699692226,0.7474874729845753,0.030648431858065633
loco,tcn,3.0,0.36350696668317917,2.062835965592714,0.7431912725089844,0.04324131574062598
loco,tcn,5.0,0.47809901368171076,1.8301195414494735,0.7377462765551053,0.04881622347066987
loco,transformer,0.5,0.07401110185732365,1.9920354876080906,0.7164190593487798,0.015052662511097367
loco,transformer,1.0,0.1262062971795373,1.858674558462277,0.693480778755994,0.021091471969623157
loco,transformer,2.0,0.22427621483836868,1.7829959079650308,0.6990849604267203,0.033473219837921356
loco,transformer,3.0,0.2992891801164012,1.6984116989288969,0.6979652007872953,0.04689589383342231
loco,transformer,5.0,0.4115677393145125,1.5754438741660295,0.6963898896414222,0.061958789481806796
random_row,a3,0.5,0.06752526401446068,1.8174668239127256,0.6941907110379183,0.35824733934257674
random_row,a3,1.0,0.11634776147249895,1.7134852144131665,0.6887807295248844,0.34384558947388183
random_row,a3,2.0,0.20384406432276894,1.6205603113660132,0.6824927095360749,0.3229976975568075
random_row,a3,3.0,0.2720311856264344,1.543727534559528,0.6752142630404537,0.30890498849554504
random_row,a3,5.0,0.37433207645352806,1.4329091433036076,0.6659662316570711,0.2923664373657989
random_row,gru,0.5,0.09386367789668174,2.5263747285921925,0.7478016231775466,0.016785666117461552
random_row,gru,1.0,0.14978638399801736,2.205944927970801,0.7419733144667662,0.02750145227945742
random_row,gru,2.0,0.2788745089112531,2.217052345844462,0.7518315902833289,0.0359013477267015
random_row,gru,3.0,0.3766256077635694,2.1372818693046973,0.7565249808694132,0.04110125845027864
random_row,gru,5.0,0.5151198951748077,1.971832108769906,0.7612196938445807,0.04797755358118071
random_row,lgbm,0.5,0.13478036216725045,3.6276620362633625,0.8414696343394992,0.01685386363515845
random_row,lgbm,1.0,0.2360368563190257,3.476179156698379,0.8485481466462655,0.024986372160495988
random_row,lgbm,2.0,0.48309670367614915,3.8406187942253864,0.8863977542246039,0.03002966242718687
random_row,lgbm,3.0,0.6470376174821112,3.6718208748852654,0.906743251934076,0.03238540439255915
random_row,lgbm,5.0,0.8047865439276493,3.080649695123851,0.9245966342710789,0.03911325662211106
random_row,lr,0.5,0.1097483697731131,2.953916936902662,0.7915878101284974,0.008053195459063014
random_row,lr,1.0,0.17891309659382093,2.6349019680180903,0.7790140446903595,0.011973453363768897
random_row,lr,2.0,0.2996040283178856,2.3818520251271904,0.774348299138467,0.017604392936742676
random_row,lr,3.0,0.3896532204629591,2.211211203499648,0.7712162156732235,0.019112297232228743
random_row,lr,5.0,0.5136082380035298,1.966045622602901,0.7668952241208112,0.019258382471098717
random_row,mlp,0.5,0.09451650362935149,2.5439457685316986,0.7587593482364131,0.014757439078780797
random_row,mlp,1.0,0.16326443648924246,2.404439882841571,0.7503265463558656,0.03254662605099711
random_row,mlp,2.0,0.28862622217666073,2.294578466304453,0.7542695884444708,0.03401807074288353
random_row,mlp,3.0,0.39307370116991763,2.230621809811575,0.7587616094480912,0.03796270102395411
random_row,mlp,5.0,0.5256325239043967,2.012073495427174,0.7631933163842869,0.03712386766433443
random_row,tcn,0.5,0.11342112401342294,3.052770441314262,0.7906348009781686,0.008792013783791448
random_row,tcn,1.0,0.18143631603674934,2.672062108904854,0.7777476349456433,0.015552979376580983
random_row,tcn,2.0,0.31584231508389793,2.5109464049169885,0.7767025885464468,0.017449584966380084
random_row,tcn,3.0,0.4134963700328797,2.346516743623467,0.7767854848441552,0.02231513881861067
random_row,tcn,5.0,0.5393461880969359,2.064568154703652,0.7769478874806542,0.022789623953650223
random_row,transformer,0.5,0.1068368563308435,2.8755525029988163,0.7547905465435905,0.013744895052943174
random_row,transformer,1.0,0.1692957673161837,2.493264936838342,0.7319419132919496,0.021480022850859672
random_row,transformer,2.0,0.302309962885679,2.4033642049411483,0.7498957007233719,0.0321553831864925
random_row,transformer,3.0,0.39926215609429394,2.2657401667056227,0.7523802384144427,0.040812011541754886
random_row,transformer,5.0,0.5242829066167922,2.0069072831974046,0.7533267090024994,0.05188772888303553
