cap,lat,lon,pp
3,23.7797,90.41664,1
3,23.77991,90.41662,0
3,23.78027,90.41668,1
3,23.78029,90.41669,1
3,23.78047,90.41679,1
3,23.78053,90.41678,0
3,23.78065,90.41675,0
3,23.78324,90.41687,0
3,23.78332,90.41691,0
3,23.78387,90.41692,1
3,23.78389,90.41694,1
3,23.78396,90.41699,0
3,23.78452,90.41706,0
3,23.78455,90.41712,0
3,23.78557,90.4169,0
3,23.78724,90.41679,1
3,23.78736,90.41678,0
3,23.78855,90.41649,0
3,23.7898,90.41581,0
3,23.7897,90.41472,0
3,23.78955,90.41414,0
3,23.78998,90.41374,0
3,23.79002,90.41371,0
3,23.79092,90.41351,0
3,23.79182,90.41334,1
3,23.79219,90.41338,0
3,23.79224,90.41336,0
3,23.79309,90.41317,0
3,23.79337,90.41313,0
3,23.79362,90.41305,0
3,23.79412,90.41296,0
3,23.79412,90.41296,0
3,23.79412,90.41294,0
3,23.79408,90.41281,0
3,23.79409,90.41258,0
3,23.79396,90.41198,0
3,23.79392,90.41194,0
3,23.79378,90.41115,0
3,23.79344,90.41002,0
3,23.79364,90.40855,0
3,23.79393,90.40857,1
3,23.79429,90.40849,0
3,23.79462,90.40837,0
3,23.79534,90.40811,0
3,23.79593,90.40785,0
3,23.79605,90.40779,0
3,23.79658,90.40752,0
3,23.79665,90.40748,0
3,23.79668,90.40743,1
3,23.79669,90.4074,0
3,23.79752,90.40684,0
3,23.79767,90.40669,0
3,23.79771,90.40665,0
3,23.79805,90.40647,0
3,23.79837,90.40585,0
3,23.7988,90.40459,1
3,23.79884,90.40443,1
3,23.7989,90.40397,0
3,23.79904,90.40291,0
3,23.79917,90.40201,0
3,23.80021,90.40192,0
3,23.80255,90.40224,0
3,23.80331,90.40233,0
3,23.8037,90.40233,0
3,23.80678,90.40289,0
3,23.81041,90.40327,0
3,23.81302,90.40391,0
3,23.81314,90.40394,0
3,23.81438,90.40423,1
3,23.81486,90.40432,0
3,23.81537,90.40443,1
3,23.81539,90.40441,0
3,23.81553,90.4045,0
3,23.81593,90.40453,0
3,23.81596,90.40455,0
3,23.816,90.40458,1
3,23.8161,90.4045,0
3,23.81618,90.40429,0
3,23.81618,90.40429,0
3,23.8162,90.40392,0
3,23.81635,90.40269,0
3,23.81636,90.40254,0
3,23.81637,90.40241,0
3,23.81639,90.40227,1
3,23.81643,90.40173,1
3,23.81647,90.40145,1
3,23.81649,90.40131,0
3,23.81653,90.40106,1
3,23.81655,90.40094,0
3,23.81657,90.40083,0
3,23.81629,90.40033,0
3,23.81621,90.40031,1
3,23.81614,90.40029,1
3,23.81606,90.40027,1
3,23.81599,90.40026,1
3,23.8159,90.40026,1
3,23.81574,90.40026,1
3,23.81567,90.40026,1
3,23.81493,90.40023,1
3,23.81487,90.4002,1
3,23.81478,90.4002,1
3,23.81469,90.40022,1
3,23.81459,90.40024,0
3,23.81451,90.40026,0
3,23.81165,90.39962,0
3,23.81091,90.39941,0
3,23.8106,90.39933,0
3,23.8102,90.39923,0
3,23.80736,90.39893,0
3,23.80725,90.39891,0
3,23.80499,90.39809,0
3,23.80376,90.39705,0
3,23.80357,90.39685,1
3,23.8034,90.39667,0
3,23.80264,90.39584,0
3,23.79883,90.39383,0
3,23.79554,90.39296,0
3,23.79458,90.39266,0
3,23.7925,90.39222,0
3,23.78869,90.39115,1
3,23.78859,90.39114,1
3,23.78849,90.39112,0
3,23.78693,90.39075,1
3,23.78682,90.39071,0
3,23.78638,90.39055,0
3,23.78606,90.39043,0
3,23.78585,90.39036,0
3,23.78558,90.39026,0
3,23.78545,90.39022,0
3,23.78496,90.39003,0
3,23.78438,90.38984,1
3,23.78398,90.38972,0
3,23.78281,90.38949,0
3,23.7804,90.38943,0
3,23.77899,90.38944,0
3,23.77602,90.38987,0
