cap,did,lat,lon,serving_rsrp,speed_kmh
1,3,23.86824,90.40046,-98.0,2.0
1,3,23.86824,90.40047,-98.0,2.0
1,3,23.86823,90.40047,-98.0,4.0
1,3,23.86822,90.40047,-99.0,3.5
1,3,23.86821,90.40047,-98.0,3.0
1,3,23.868205000000003,90.40047,-97.5,2.0
1,3,23.8682,90.40047,-97.0,1.0
1,3,23.8682,90.40046,-95.0,1.0
1,3,23.8682,90.40046,-95.0,2.0
1,3,23.8682,90.40046,-94.0,2.0
1,3,23.86819,90.40046,-93.5,2.0
1,3,23.86819,90.40046,-93.0,1.0
1,3,23.86818,90.40046,-91.0,1.0
1,3,23.86817,90.40047,-89.0,2.0
1,3,23.86816,90.40046,-87.0,4.0
1,3,23.86815,90.40046,-88.0,4.0
1,3,23.86814,90.40046,-89.0,5.0
1,3,23.86813,90.40046,-91.0,4.0
1,3,23.86813,90.40046,-90.0,3.0
1,3,23.86812,90.40045,-89.0,4.0
1,3,23.86811,90.40044,-90.0,8.0
1,3,23.86804,90.40046,-91.0,13.0
1,3,23.86802,90.400465,-90.0,13.0
1,3,23.868,90.40047,-93.0,13.0
1,3,23.86797,90.40045,-92.5,14.0
1,3,23.8679,90.40042,-92.0,16.0
1,3,23.86785,90.40042,-92.0,19.0
1,3,23.86779,90.40041,-93.0,23.0
1,3,23.86772,90.40041,-92.0,24.0
1,3,23.86769,90.40041,-91.0,24.5
1,3,23.86766,90.40041,-90.0,25.0
1,3,23.86759,90.4004,-87.0,26.0
1,3,23.86752,90.4004,-85.0,27.0
1,3,23.86745,90.40039,-84.5,29.0
1,3,23.86738,90.40038,-84.0,31.0
1,3,23.86729,90.40037,-89.0,33.0
1,3,23.8672,90.40035,-92.0,34.0
1,3,23.86711,90.40034,-94.0,34.0
1,3,23.86702,90.40033,-96.0,33.0
1,3,23.86694,90.40032,-99.0,33.0
1,3,23.86685,90.40031,-100.0,34.0
1,3,23.86676,90.40029,-102.0,34.0
1,3,23.86659,90.40027,-93.0,34.0
1,3,23.86659,90.40027,-90.0,35.0
1,3,23.8664,90.40026,-90.0,37.0
1,3,23.86631,90.40025,-89.0,38.0
1,3,23.86631,90.40025,-87.0,38.0
1,3,23.8661,90.40024,-88.0,39.0
1,3,23.866,90.40023,-88.0,40.0
1,3,23.86589,90.40022,-88.0,41.0
1,3,23.86578,90.40021,-89.0,40.0
1,3,23.86568,90.4002,-90.5,40.0
1,3,23.86557,90.40019,-92.0,40.0
1,3,23.86547,90.40019,-93.0,39.0
1,3,23.86537,90.40018,-96.0,39.0
1,3,23.86537,90.40018,-92.0,39.0
1,3,23.86517,90.40016,-88.0,39.0
1,3,23.86517,90.40016,-86.0,39.0
1,3,23.86507,90.40015,-86.0,40.0
1,3,23.86497,90.40015,-77.0,40.0
1,3,23.86486,90.40015,-77.0,41.0
1,3,23.86476,90.40015,-82.0,37.0
1,3,23.86466,90.40015,-84.0,41.0
1,3,23.86455,90.40014,-88.0,42.0
1,3,23.86433,90.40013,-87.0,43.0
1,3,23.86423,90.40012,-89.0,43.0
1,3,23.86423,90.40012,-89.0,44.0
1,3,23.86412,90.40011,-89.0,44.0
