variant,model,horizon_s,fold,seed,n,positive_rate,auprc,auprc_lift,auroc,brier,ece
+ self-excitation,multi-head LGBM + isotonic,0.5,1,1337,1587,0.05040957781978576,0.5308593737843093,10.530922827446235,0.9276376907763769,0.029673922622283928,0.005230883498957057
+ self-excitation,multi-head LGBM + isotonic,1.0,1,1337,1587,0.08380592312539382,0.7124859864724473,8.501618500238902,0.9291945475794023,0.03266104262646484,0.008517508854495332
+ self-excitation,multi-head LGBM + isotonic,2.0,1,1337,1579,0.15452818239392022,0.5997557475473698,3.8812062515462986,0.8574645422729785,0.08581185421330725,0.03565898957185368
+ self-excitation,multi-head LGBM + isotonic,3.0,1,1337,1571,0.21578612348822407,0.6103035429116853,2.8282798404550373,0.8211065299007777,0.12309581866289611,0.054831985336222105
+ self-excitation,multi-head LGBM + isotonic,5.0,1,1337,1552,0.3125,0.6086416025141103,1.9476531280451528,0.7951245905757545,0.17470915653181313,0.0967256615527924
+ self-excitation,multi-head LGBM + isotonic + monotone,0.5,1,1337,1587,0.05040957781978576,0.5369473583203038,10.651693220679027,0.9344849037823492,0.02903611226703081,0.00543657575033501
+ self-excitation,multi-head LGBM + isotonic + monotone,1.0,1,1337,1587,0.08380592312539382,0.7410409646315335,8.84234594639281,0.9324316637536068,0.03251414662628789,0.007223448492944104
+ self-excitation,multi-head LGBM + isotonic + monotone,2.0,1,1337,1579,0.15452818239392022,0.6418572693717131,4.153658312860388,0.8618131024743662,0.08514630444443003,0.036637641649934154
+ self-excitation,multi-head LGBM + isotonic + monotone,3.0,1,1337,1571,0.21578612348822407,0.6280130133311232,2.910349392162816,0.82671172853695,0.12205720598834525,0.052816067829238214
+ self-excitation,multi-head LGBM + isotonic + monotone,5.0,1,1337,1552,0.3125,0.6159039667645179,1.9708926936464572,0.7968038338534672,0.17189184333393423,0.09073425513007076
+ self-excitation,hazard LGBM,0.5,1,1337,1587,0.05040957781978576,0.5307159541504621,10.528077740459793,0.939349701393497,0.03310257042280214,0.02707065557212916
+ self-excitation,hazard LGBM,1.0,1,1337,1587,0.08380592312539382,0.7529757749307733,8.984756051241632,0.9329099916227983,0.03463963820127588,0.025529220537807065
+ self-excitation,hazard LGBM,2.0,1,1337,1579,0.15452818239392022,0.6435607402122432,4.164682003258737,0.864843126419844,0.08840540361680053,0.05134022175365057
+ self-excitation,hazard LGBM,3.0,1,1337,1571,0.21578612348822407,0.6343381923379143,2.939661652397827,0.8357181166915681,0.12697341944284193,0.07547565242501406
+ self-excitation,hazard LGBM,5.0,1,1337,1552,0.3125,0.6711559425070113,2.147699016022436,0.8077063546507697,0.1683764125458978,0.08495672533870843
+ self-excitation,multi-head MLP,0.5,1,1337,1587,0.05040957781978576,0.4822049520308669,9.565740735912323,0.871922694094227,0.0354437977135435,0.030123777053915383
+ self-excitation,multi-head MLP,1.0,1,1337,1587,0.08380592312539382,0.7230181453203296,8.627291703935061,0.9055754930655386,0.03777892761198549,0.02835875255269305
+ self-excitation,multi-head MLP,2.0,1,1337,1579,0.15452818239392022,0.6111448093039943,3.954908417586094,0.8266961380241912,0.09674908920843857,0.06652981497371767
+ self-excitation,multi-head MLP,3.0,1,1337,1571,0.21578612348822407,0.5870178098922937,2.7203686706218093,0.7773986706508831,0.1456029204380374,0.10494348678155874
