model,arm,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
transformer,tuned,5.0,5906,0.2758211987809008,0.562747440135839,2.040261744286228,0.7388370677426749,0.21865194443785,0.717203416395405,0.1835904398058676,0.5371738060068931,0.3738366365432739,0.1307550644567219,0.9910010695457458,0.2799263351749539,0.9372419714927672,0.3898096992019644,0.848088264465332,0.5284974093264249,0.372039942938659
tcn,default,0.5,6049,0.0419904116382873,0.3113186760227069,7.414042012839978,0.8590775376546439,0.0748580558599912,0.2550213447407771,0.0886001300507159,0.4067226890756303,0.8091574311256409,0.2007874015748031,0.966578722000122,0.5196850393700787,0.7473257184028625,0.6377952755905512,0.4436938464641571,0.3208020050125313,0.126865671641791
tcn,default,1.0,6049,0.0725739791701107,0.5309975963815712,7.316638862214406,0.867146204101852,0.0852107930259416,0.2903297994603525,0.0954107571420185,0.5370370370370371,0.8283319473266602,0.3348519362186788,0.9570549726486206,0.5603644646924829,0.7588996887207031,0.6765375854214123,0.520506739616394,0.5625,0.2243346007604562
tcn,default,2.0,6014,0.1345194546059195,0.4877492744563329,3.625864198492443,0.7941256446152731,0.146001655812569,0.4930481281604258,0.1465237462247327,0.4933655006031363,0.7750634551048279,0.1841779975278121,0.9804264307022096,0.4091470951792336,0.8818568587303162,0.5290482076637825,0.7355142831802368,0.4817432273262662,0.237885462555066
tcn,default,3.0,5979,0.1874895467469476,0.4804048088960769,2.562301830856061,0.7635368093461808,0.1802649328057803,0.603280448025373,0.1606727896339642,0.4951167728237792,0.7106901407241821,0.0999107939339875,0.9886542558670044,0.3041926851025869,0.9160680174827576,0.4442462087421944,0.8072938919067383,0.4746467165419784,0.2940983606557377
tcn,default,5.0,5906,0.2758211987809008,0.5462895650809337,1.9805931070398983,0.7502619045466112,0.2066411058537268,0.6731720251913262,0.148450409092641,0.5574324324324323,0.548302173614502,0.0828729281767955,0.9927963614463806,0.240024554941682,0.945006787776947,0.3934929404542664,0.8488077521324158,0.550303848750844,0.4035902197462086
tcn,tuned,0.5,6049,0.0419904116382873,0.4020617551455712,9.57508486958882,0.9007595469893268,0.0624488732946035,0.223840954992145,0.0750540959971437,0.4690553745928338,0.8071996569633484,0.2637795275590551,0.9709857702255248,0.610236220472441,0.734245777130127,0.7401574803149606,0.3297156095504761,0.4205298013245033,0.2163308589607635
tcn,tuned,1.0,6049,0.0725739791701107,0.6327164236234541,8.718226985189691,0.8930444739502758,0.0688523291069443,0.257400268638331,0.0796524634273666,0.5993413830954994,0.7824802994728088,0.4305239179954442,0.9561120867729188,0.6605922551252847,0.6940616965293884,0.7494305239179955,0.3643256723880768,0.650887573964497,0.2962962962962963
tcn,tuned,2.0,6014,0.1345194546059195,0.5177914212955473,3.849193581794093,0.8092392382051583,0.1449138752525008,0.4977502658601446,0.1486346589642822,0.5006535947712418,0.8398362994194031,0.2200247218788628,0.9854653477668762,0.4140914709517923,0.881809413433075,0.5414091470951793,0.7177107930183411,0.4975429975429975,0.2517428350116189
tcn,tuned,3.0,5979,0.1874895467469476,0.5199560974893986,2.7732537974033136,0.7758872955357671,0.1816287721523822,0.6229764013158933,0.1688116776869891,0.5044722719141324,0.7736543416976929,0.1489741302408563,0.9906097054481506,0.335414808206958,0.9227855801582336,0.4772524531668153,0.8018003702163696,0.5058400718778078,0.3082474226804124
tcn,tuned,5.0,5906,0.2758211987809008,0.5674306065385465,2.0572407380089968,0.7520798428874131,0.2125140380809344,0.7054670185262524,0.173751476207543,0.5506345506345507,0.4707923829555511,0.1098833640270104,0.991922914981842,0.2719459791282996,0.9392249584197998,0.4155923879680785,0.8449137806892395,0.5491638795986622,0.3984112435074854
gru,default,0.5,6049,0.0419904116382873,0.266491094344957,6.346474920049784,0.8509759295618677,0.0926758309396781,0.2919669151210874,0.1318078260299663,0.3628865979381443,0.8700333833694458,0.1811023622047244,0.9353366494178772,0.4251968503937008,0.7916441559791565,0.5708661417322834,0.5855425596237183,0.2288288288288288,0.117579250720461
gru,default,1.0,6049,0.0725739791701107,0.4860677185122247,6.69754813047938,0.8625043142127425,0.1012735016514783,0.3175902213883653,0.1258082036111795,0.4725738396624472,0.8918617367744446,0.3029612756264236,0.9215473532676696,0.4738041002277904,0.806261420249939,0.6104783599088838,0.6155062913894653,0.4089219330855018,0.2041763341067285
gru,default,2.0,6014,0.1345194546059195,0.4432199974163336,3.2948393874682704,0.7944165600966077,0.1508160277096995,0.4681790988767037,0.1436563365521156,0.4491671453187823,0.7217503190040588,0.1495673671199011,0.9492313265800476,0.3288009888751545,0.868810772895813,0.4672435105067985,0.7349595427513123,0.4062186559679037,0.2409817776124953
gru,default,3.0,5979,0.1874895467469476,0.4674731142406101,2.493328947408214,0.7695503228348798,0.1723622521936691,0.5340375663349181,0.1385152001173141,0.4845250800426894,0.4775847494602203,0.1016949152542373,0.954676866531372,0.2872435325602141,0.8858941793441772,0.4219446922390722,0.7607884407043457,0.4524193548387096,0.3107266435986159
gru,default,5.0,5906,0.2758211987809008,0.524987979541623,1.9033634175401013,0.745478800551094,0.2008220423185719,0.6122341483257971,0.1367936760748213,0.5407350295553842,0.4271165430545807,0.052793124616329,0.9641874432563782,0.2277470841006752,0.9068560600280762,0.3806015960712093,0.7934236526489258,0.5403973509933775,0.3886410942610764
gru,tuned,0.5,6049,0.0419904116382873,0.3020974893269135,7.194439814718503,0.8599131752189304,0.0946402114810479,0.3012745923632631,0.1477708868419974,0.3795918367346939,0.8485454320907593,0.2125984251968504,0.9249770641326904,0.468503937007874,0.7530507445335388,0.6181102362204725,0.5890440344810486,0.2651356993736952,0.1356382978723404
gru,tuned,1.0,6049,0.0725739791701107,0.5356396514500348,7.380601939911756,0.8738215601005364,0.0974874611217109,0.3144439352290076,0.1397193044300771,0.5343855693348366,0.7747995853424072,0.3325740318906606,0.8990325331687927,0.5694760820045558,0.7439988851547241,0.6856492027334852,0.5915154218673706,0.5390243902439025,0.2449687716863289
gru,tuned,2.0,6014,0.1345194546059195,0.4680421518270908,3.479364031011279,0.8060291936654044,0.1458974520303988,0.4608740813696572,0.1654134486092266,0.4867256637168141,0.7466406226158142,0.1470951792336217,0.939578115940094,0.3918417799752781,0.8135235905647278,0.519159456118665,0.6945798993110657,0.4591836734693877,0.2696302451184046
gru,tuned,3.0,5979,0.1874895467469476,0.4946219428564211,2.6381307728265315,0.785096196751342,0.166150702723151,0.5222675783040304,0.1602657563715367,0.5096191597958382,0.6040458083152771,0.095450490633363,0.9563106894493104,0.328278322925959,0.832655131816864,0.4772524531668153,0.7196668386459351,0.51183970856102,0.3228941684665227
