operating_point,threshold,alarm_rate,alarms_per_hour,min_lead_time_s,n_adverse_events,n_warned,max_avoidable_frac,random_alarm_reference,lift_over_random,excess_over_random,actuator_efficacy,attainable_benefit_frac,ranker,seed
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,3.0,269,120,0.44609665427509293,0.3016627039062503,1.4787928653378688,0.14443395036884266,0.25,0.11152416356877323,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,3.0,269,120,0.44609665427509293,0.3016627039062503,1.4787928653378688,0.14443395036884266,0.5,0.22304832713754646,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,3.0,269,120,0.44609665427509293,0.3016627039062503,1.4787928653378688,0.14443395036884266,0.75,0.3345724907063197,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,3.0,269,120,0.44609665427509293,0.3016627039062503,1.4787928653378688,0.14443395036884266,1.0,0.44609665427509293,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,5.0,269,90,0.3345724907063197,0.22621906250000023,1.4789756752100385,0.10835342820631949,0.25,0.08364312267657993,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,5.0,269,90,0.3345724907063197,0.22621906250000023,1.4789756752100385,0.10835342820631949,0.5,0.16728624535315986,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,5.0,269,90,0.3345724907063197,0.22621906250000023,1.4789756752100385,0.10835342820631949,0.75,0.25092936802973975,generic handover model,1338
alarm_top_5pct,0.8145980754497918,0.05,181.0055865921788,5.0,269,90,0.3345724907063197,0.22621906250000023,1.4789756752100385,0.10835342820631949,1.0,0.3345724907063197,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,0.0,269,236,0.8773234200743495,0.6513215599,1.346989680809965,0.22600186017434953,0.25,0.21933085501858737,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,0.0,269,236,0.8773234200743495,0.6513215599,1.346989680809965,0.22600186017434953,0.5,0.43866171003717475,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,0.0,269,236,0.8773234200743495,0.6513215599,1.346989680809965,0.22600186017434953,0.75,0.6579925650557621,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,0.0,269,236,0.8773234200743495,0.6513215599,1.346989680809965,0.22600186017434953,1.0,0.8773234200743495,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,1.0,269,194,0.7211895910780669,0.6125795109999999,1.1772995637754313,0.10861008007806705,0.25,0.18029739776951673,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,1.0,269,194,0.7211895910780669,0.6125795109999999,1.1772995637754313,0.10861008007806705,0.5,0.36059479553903345,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,1.0,269,194,0.7211895910780669,0.6125795109999999,1.1772995637754313,0.10861008007806705,0.75,0.5408921933085502,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,1.0,269,194,0.7211895910780669,0.6125795109999999,1.1772995637754313,0.10861008007806705,1.0,0.7211895910780669,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,2.0,269,183,0.6802973977695167,0.5695327899999999,1.194483284745584,0.1107646077695168,0.25,0.17007434944237917,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,2.0,269,183,0.6802973977695167,0.5695327899999999,1.194483284745584,0.1107646077695168,0.5,0.34014869888475835,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,2.0,269,183,0.6802973977695167,0.5695327899999999,1.194483284745584,0.1107646077695168,0.75,0.5102230483271375,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,2.0,269,183,0.6802973977695167,0.5695327899999999,1.194483284745584,0.1107646077695168,1.0,0.6802973977695167,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,3.0,269,170,0.6319702602230484,0.5217030999999999,1.2113599865959173,0.1102671602230485,0.25,0.1579925650557621,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,3.0,269,170,0.6319702602230484,0.5217030999999999,1.2113599865959173,0.1102671602230485,0.5,0.3159851301115242,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,3.0,269,170,0.6319702602230484,0.5217030999999999,1.2113599865959173,0.1102671602230485,0.75,0.4739776951672863,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,3.0,269,170,0.6319702602230484,0.5217030999999999,1.2113599865959173,0.1102671602230485,1.0,0.6319702602230484,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,5.0,269,138,0.5130111524163569,0.40950999999999993,1.2527438949387242,0.10350115241635693,0.25,0.12825278810408922,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,5.0,269,138,0.5130111524163569,0.40950999999999993,1.2527438949387242,0.10350115241635693,0.5,0.25650557620817843,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,5.0,269,138,0.5130111524163569,0.40950999999999993,1.2527438949387242,0.10350115241635693,0.75,0.3847583643122677,generic handover model,1338
alarm_top_10pct,0.059188147539316414,0.1,362.0111731843576,5.0,269,138,0.5130111524163569,0.40950999999999993,1.2527438949387242,0.10350115241635693,1.0,0.5130111524163569,generic handover model,1338
alarm_top_20pct,0.011886556395790462,0.2,724.0223463687151,0.0,269,251,0.9330855018587361,0.8926258175999999,1.0453265897770243,0.04045968425873614,0.25,0.23327137546468402,generic handover model,1338
alarm_top_20pct,0.011886556395790462,0.2,724.0223463687151,0.0,269,251,0.9330855018587361,0.8926258175999999,1.0453265897770243,0.04045968425873614,0.5,0.46654275092936803,generic handover model,1338
alarm_top_20pct,0.011886556395790462,0.2,724.0223463687151,0.0,269,251,0.9330855018587361,0.8926258175999999,1.0453265897770243,0.04045968425873614,0.75,0.699814126394052,generic handover model,1338
alarm_top_20pct,0.011886556395790462,0.2,724.0223463687151,0.0,269,251,0.9330855018587361,0.8926258175999999,1.0453265897770243,0.04045968425873614,1.0,0.9330855018587361,generic handover model,1338
