protocol,gate_mode,model,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8
ours (grouped drive K-fold),hom_only,departmental_q_ttt,3.0,646.2,0.2953375115957663,0.3093951054929103,1.047476334644117,0.5201126210531598,0.3001304800440474,4.2493617494988545,0.30095283921383986,0.45209448493851107,0.0,0.011324739593511548,0.902342274748842,0.06680677491814743,0.7932088196555569,0.12915094897664983,0.43111669792230095,0.2953375115957663,0.2953375115957663
ours (grouped drive K-fold),hom_only,departmental_gate,3.0,646.2,0.2953375115957663,0.3084815284030289,1.0445385384776693,0.5204943670341352,0.3262621900119894,5.25872525331593,0.3262621900119894,0.45209448493851107,0.0,0.0,inf,0.0,inf,0.08232555215125299,inf,0.2953375115957663,0.2953375115957663
ours (grouped drive K-fold),hom_only,ours_lgbm,5.0,637.4,0.4114858435219677,0.6769173657799346,1.6806155846903263,0.7229345375517083,0.25249036549094533,0.8337178153745668,0.20885365937896533,0.6292562179733184,0.096050736318284,0.1780628430249899,0.9830762286610482,0.30081307804059587,0.9342838209684148,0.36912263051092564,0.8618653610166888,0.6350072504949238,0.5029304377557559
ours (grouped drive K-fold),hom_only,ours_lgbm_5feat,5.0,637.4,0.4114858435219677,0.5987411524017886,1.4832962743475917,0.682986825988561,0.24760849829588336,0.7374120774239069,0.16861230269069943,0.6251813695024988,0.1864368001778248,0.056630851539261215,0.9756410242877344,0.19026341828507945,0.9049514299266175,0.2902347777718056,0.8345801457190947,0.57134945822795,0.49895487112465914
ours (grouped drive K-fold),hom_only,reward_only_control,5.0,637.4,0.4114858435219677,0.47896112351321074,1.17260892140112,0.6120294518663922,0.2905242064912209,1.4497769365748603,0.24571529037891207,0.6171225654906117,0.24182424916573972,0.0006269592476489028,inf,0.028061435200396122,1.0,0.10212059556382154,0.8,0.48375477457729826,0.48375477457729826
ours (grouped drive K-fold),hom_only,departmental_q,5.0,637.4,0.4114858435219677,0.43643530945291636,1.0734444058195667,0.5159734995567857,0.2875283780818756,0.8282357940071077,0.20603086965068979,0.5812641717786197,0.24985645604768864,0.005717729045900965,0.9122399516534948,0.0602101934075772,0.8342090347779443,0.11825853782122511,0.8118941324635361,0.4284388001028051,0.41950824391759556
ours (grouped drive K-fold),hom_only,departmental_gate,5.0,637.4,0.4114858435219677,0.4239382894639948,1.0352589255876505,0.5182431072205603,0.4169704562542666,6.720769755863887,0.4169704562542666,0.5778661885598531,0.0,0.0,inf,0.0,inf,0.08995329518359339,inf,0.4114858435219677,0.4114858435219677
ours (grouped drive K-fold),hom_only,departmental_q_ttt,5.0,637.4,0.4114858435219677,0.4232567287917612,1.0339798331583148,0.5180330031925012,0.39734658883051244,5.905082699255142,0.39371789316431544,0.5778661885598531,0.0,0.010027985160564284,0.8993087916243517,0.06958122921375771,0.777489324014578,0.12160445609290493,0.42149517459235836,0.4114858435219677,0.4114858435219677
theirs (capture -> capture),grid,ours_lgbm,0.5,726.0,0.06473829201101929,0.3912546236047687,6.043635249724725,0.8569391783912512,0.0525965606592989,0.2568457318693664,0.05005797979027221,0.5549983996585939,0.2720362072614899,0.14893617021276595,0.910501284138695,0.5957446808510638,0.18358938655559648,0.6808510638297872,0.018130530020864122,0.5539772727272727,0.18703344439289782
theirs (capture -> capture),grid,ours_lgbm_5feat,0.5,726.0,0.06473829201101929,0.22189834142454884,3.427621188813244,0.7412966502679159,0.07931464134653682,0.324333904034645,0.07642550887333512,0.3117468046256847,0.33207933298834424,0.09574468085106383,0.9461484020872533,0.2765957446808511,0.5736889516933511,0.3723404255319149,0.27577742192001053,0.16184139543247616,0.11145726311603088
