model,feature_set,seed,condition,horizon_s,n,positive_rate,auprc,auprc_lift,auroc,brier,nll,ece,f1_best,f1_best_threshold,recall_at_fpr0.01,threshold_at_fpr0.01,recall_at_fpr0.05,threshold_at_fpr0.05,recall_at_fpr0.1,threshold_at_fpr0.1,precision_at_recall0.5,precision_at_recall0.8,auprc_ci_low,auprc_ci_high,n_drives
lgbm,rf_mob_hist,1337,grouped_drive,0.5,8131,0.036772844668552455,0.4156388894829347,11.302875620019204,0.9158934616921915,0.027705691159592368,0.1386142624583684,0.022611372657617236,0.5746799431009957,0.09161666911923123,0.3010033444816054,0.8336183768464054,0.7324414715719063,0.015045497328677578,0.7759197324414716,0.002871313325270171,0.5629370629370629,0.20253164556962025,0.34994408985358766,0.4895534546188611,57
lgbm,rf_mob_hist,1337,grouped_drive,1.0,8131,0.0670274259008732,0.7841112392289405,11.698364194808287,0.9325645745300978,0.02600804927962289,0.15268569821622646,0.02364435724980936,0.7790821771611527,0.9412286820805594,0.6954128440366972,0.30775953119581406,0.7467889908256881,0.026614348704813204,0.7963302752293578,0.006394282106856743,0.9829351535836177,0.35973597359735976,0.7396368786244337,0.8258449282065257,57
lgbm,rf_mob_hist,1337,grouped_drive,2.0,8084,0.12481444829292429,0.6272669326101523,5.025595523508891,0.8540727796124632,0.0787612415931727,0.33615520819813377,0.06085184082024694,0.5545102379634754,0.388106532870735,0.38057482656095143,0.8577867163287844,0.5133795837462835,0.33459641866235007,0.5966303270564915,0.1409663161165096,0.6196319018404908,0.2885714285714286,0.5941969421139521,0.657224988855133,57
lgbm,rf_mob_hist,1337,grouped_drive,3.0,8038,0.17491913411296342,0.598121696936687,3.4194183499125823,0.816210832602649,0.1209833801729512,0.46481427154686117,0.0907408717480078,0.5320846340617412,0.33385942637798904,0.27667140825035563,0.9359609476289672,0.39473684210526316,0.6632910436992827,0.5320056899004267,0.3662898789286848,0.5505090054815975,0.32553437319468514,0.5604723965178674,0.6360002479328569,57
lgbm,rf_mob_hist,1337,grouped_drive,5.0,7941,0.2591613146958821,0.6059921069622743,2.338281497272799,0.7828691224917639,0.17992223262443016,0.6292404098719689,0.14091586180539808,0.5512041884816754,0.30335271392776225,0.17201166180758018,0.9799931156017224,0.32215743440233235,0.8695505434744707,0.43731778425655976,0.7091806958388979,0.5635268346111719,0.40696812453669384,0.5637829925410468,0.6488562031560557,57
mlp,rf_mob_hist,1337,grouped_drive,0.5,8131,0.036772844668552455,0.4114399545707118,11.188689868275778,0.9117901517144311,0.06975121329130851,0.2388494770534653,0.1069668637549964,0.5122699386503067,0.8461601734161377,0.34448160535117056,0.9592689871788025,0.6622073578595318,0.6935940384864807,0.745819397993311,0.46507468819618225,0.498371335504886,0.1583442838370565,0.3459099586146049,0.4891720996105584,57
mlp,rf_mob_hist,1337,grouped_drive,1.0,8131,0.0670274259008732,0.6774665423479675,10.10730358868133,0.9100075706818693,0.08145285884598244,0.2696900334229094,0.12128623277661289,0.6417759838546923,0.8788418769836426,0.5302752293577981,0.9274892807006836,0.6954128440366972,0.6962510347366333,0.7688073394495413,0.5287743806838989,0.8348623853211009,0.28543435662965383,0.6138393147830064,0.7362700615529725,57
mlp,rf_mob_hist,1337,grouped_drive,2.0,8084,0.12481444829292429,0.5837370904967146,4.676839087785373,0.8449313072804128,0.1368036947726871,0.4281948806452269,0.18395260517623224,0.5365597054182009,0.7710977792739868,0.3002973240832507,0.933480441570282,0.48761149653121905,0.7865557670593262,0.5926660059464817,0.6580858826637268,0.5730464326160816,0.2882080513003206,0.5310354052125053,0.63266422246099,57
mlp,rf_mob_hist,1337,grouped_drive,3.0,8038,0.17491913411296342,0.5742869277560915,3.283156703629775,0.8131837832690159,0.16035678497103042,0.49136700280047996,0.18181285735595454,0.5311284046692607,0.6201316714286804,0.23826458036984352,0.9326335787773132,0.39829302987197723,0.8039901256561279,0.515647226173542,0.6851696372032166,0.5301659125188537,0.31725888324873097,0.5224654509366643,0.6281692466394065,57
mlp,rf_mob_hist,1337,grouped_drive,5.0,7941,0.2591613146958821,0.6018352795791173,2.3222419607083435,0.7855977023285455,0.18101603431011268,0.5454891630813133,0.1488321730474579,0.5613018279090504,0.5491250157356262,0.16423712342079688,0.9388057589530945,0.337220602526725,0.8026832938194275,0.45286686103012636,0.6960511803627014,0.5868945868945868,0.39744208494208494,0.5492237201076018,0.6601489023902837,57
